".rownames","EmploymentStatus.fctr.predict.Final.rpart"
"84531","Not.in.Labor.Force"
"92479","Not.in.Labor.Force"
"85332","Not.in.Labor.Force"
"93275","Not.in.Labor.Force"
"92186","Not.in.Labor.Force"
"114859","Not.in.Labor.Force"
"84280","Not.in.Labor.Force"
"93276","Not.in.Labor.Force"
"84129","Not.in.Labor.Force"
"83592","Not.in.Labor.Force"
"85330","Not.in.Labor.Force"
"91464","Not.in.Labor.Force"
"80159","Not.in.Labor.Force"
"114569","Not.in.Labor.Force"
"85333","Not.in.Labor.Force"
"35198","Not.in.Labor.Force"
"35161","Not.in.Labor.Force"
"79783","Not.in.Labor.Force"
"34795","Not.in.Labor.Force"
"79947","Not.in.Labor.Force"
"35197","Not.in.Labor.Force"
"80166","Not.in.Labor.Force"
"79892","Not.in.Labor.Force"
"80220","Not.in.Labor.Force"
"34794","Not.in.Labor.Force"
"80162","Not.in.Labor.Force"
"113524","Not.in.Labor.Force"
"80372","Not.in.Labor.Force"
"35181","Not.in.Labor.Force"
"114197","Not.in.Labor.Force"
"35166","Not.in.Labor.Force"
"79889","Not.in.Labor.Force"
"79835","Not.in.Labor.Force"
"79831","Not.in.Labor.Force"
"35117","Not.in.Labor.Force"
"80347","Not.in.Labor.Force"
"80026","Not.in.Labor.Force"
"85367","Not.in.Labor.Force"
"79788","Not.in.Labor.Force"
"84006","Not.in.Labor.Force"
"80346","Not.in.Labor.Force"
"80155","Not.in.Labor.Force"
"83824","Not.in.Labor.Force"
"80351","Not.in.Labor.Force"
"80066","Not.in.Labor.Force"
"80295","Not.in.Labor.Force"
"80323","Not.in.Labor.Force"
"109992","Not.in.Labor.Force"
"79890","Not.in.Labor.Force"
"79781","Not.in.Labor.Force"
"79972","Not.in.Labor.Force"
"80083","Not.in.Labor.Force"
"80370","Not.in.Labor.Force"
"80165","Not.in.Labor.Force"
"91835","Not.in.Labor.Force"
"79825","Not.in.Labor.Force"
"79971","Not.in.Labor.Force"
"79852","Not.in.Labor.Force"
"79891","Not.in.Labor.Force"
"80074","Not.in.Labor.Force"
"84005","Not.in.Labor.Force"
"79787","Not.in.Labor.Force"
"80335","Not.in.Labor.Force"
"80160","Not.in.Labor.Force"
"98560","Not.in.Labor.Force"
"80067","Not.in.Labor.Force"
"80345","Not.in.Labor.Force"
"79830","Not.in.Labor.Force"
"84613","Not.in.Labor.Force"
"80238","Not.in.Labor.Force"
"84255","Not.in.Labor.Force"
"79959","Not.in.Labor.Force"
"79961","Not.in.Labor.Force"
"79923","Not.in.Labor.Force"
"80326","Not.in.Labor.Force"
"85172","Not.in.Labor.Force"
"80073","Not.in.Labor.Force"
"79853","Not.in.Labor.Force"
"80294","Not.in.Labor.Force"
"85559","Not.in.Labor.Force"
"81213","Not.in.Labor.Force"
"79869","Not.in.Labor.Force"
"80061","Not.in.Labor.Force"
"79960","Not.in.Labor.Force"
"79815","Not.in.Labor.Force"
"80192","Not.in.Labor.Force"
"109569","Not.in.Labor.Force"
"84530","Not.in.Labor.Force"
"79878","Not.in.Labor.Force"
"84391","Not.in.Labor.Force"
"79922","Not.in.Labor.Force"
"110456","Not.in.Labor.Force"
"80108","Not.in.Labor.Force"
"79938","Not.in.Labor.Force"
"77571","Not.in.Labor.Force"
"79912","Not.in.Labor.Force"
"114413","Not.in.Labor.Force"
"80109","Not.in.Labor.Force"
"79991","Not.in.Labor.Force"
"79933","Not.in.Labor.Force"
"80056","Not.in.Labor.Force"
"80313","Not.in.Labor.Force"
"113921","Not.in.Labor.Force"
"80079","Not.in.Labor.Force"
"80330","Not.in.Labor.Force"
"35115","Not.in.Labor.Force"
"79939","Not.in.Labor.Force"
"79811","Not.in.Labor.Force"
"110231","Not.in.Labor.Force"
"79927","Not.in.Labor.Force"
"79997","Not.in.Labor.Force"
"80215","Not.in.Labor.Force"
"80036","Not.in.Labor.Force"
"79930","Not.in.Labor.Force"
"79898","Not.in.Labor.Force"
"79970","Not.in.Labor.Force"
"80237","Not.in.Labor.Force"
"80107","Not.in.Labor.Force"
"79940","Not.in.Labor.Force"
"79973","Not.in.Labor.Force"
"80262","Not.in.Labor.Force"
"79917","Not.in.Labor.Force"
"80209","Not.in.Labor.Force"
"79884","Not.in.Labor.Force"
"79862","Not.in.Labor.Force"
"80208","Not.in.Labor.Force"
"79992","Not.in.Labor.Force"
"80339","Not.in.Labor.Force"
"23958","Not.in.Labor.Force"
"92608","Not.in.Labor.Force"
"80244","Not.in.Labor.Force"
"80241","Not.in.Labor.Force"
"80285","Not.in.Labor.Force"
"80229","Not.in.Labor.Force"
"110237","Not.in.Labor.Force"
"79883","Not.in.Labor.Force"
"79990","Not.in.Labor.Force"
"92057","Not.in.Labor.Force"
"80014","Not.in.Labor.Force"
"80356","Not.in.Labor.Force"
"80354","Not.in.Labor.Force"
"80243","Not.in.Labor.Force"
"92610","Not.in.Labor.Force"
"79772","Not.in.Labor.Force"
"80325","Not.in.Labor.Force"
"79896","Not.in.Labor.Force"
"113623","Not.in.Labor.Force"
"80040","Not.in.Labor.Force"
"91836","Not.in.Labor.Force"
"80314","Not.in.Labor.Force"
"92056","Not.in.Labor.Force"
"80245","Not.in.Labor.Force"
"91211","Not.in.Labor.Force"
"77566","Not.in.Labor.Force"
"113580","Not.in.Labor.Force"
"79102","Not.in.Labor.Force"
"98074","Not.in.Labor.Force"
"99724","Not.in.Labor.Force"
"98799","Not.in.Labor.Force"
"98434","Not.in.Labor.Force"
"98758","Not.in.Labor.Force"
"97898","Not.in.Labor.Force"
"98918","Not.in.Labor.Force"
"113292","Not.in.Labor.Force"
"112642","Not.in.Labor.Force"
"98435","Not.in.Labor.Force"
"111879","Not.in.Labor.Force"
"112456","Not.in.Labor.Force"
"98917","Not.in.Labor.Force"
"80216","Not.in.Labor.Force"
"113861","Not.in.Labor.Force"
"79101","Not.in.Labor.Force"
"99389","Not.in.Labor.Force"
"113291","Not.in.Labor.Force"
"99046","Not.in.Labor.Force"
"98071","Not.in.Labor.Force"
"99858","Not.in.Labor.Force"
"35048","Not.in.Labor.Force"
"99662","Not.in.Labor.Force"
"113943","Not.in.Labor.Force"
"100083","Not.in.Labor.Force"
"78471","Not.in.Labor.Force"
"99045","Not.in.Labor.Force"
"110297","Not.in.Labor.Force"
"98339","Not.in.Labor.Force"
"35167","Not.in.Labor.Force"
"99859","Not.in.Labor.Force"
"99939","Not.in.Labor.Force"
"98640","Not.in.Labor.Force"
"80322","Not.in.Labor.Force"
"85214","Not.in.Labor.Force"
"99253","Not.in.Labor.Force"
"100081","Not.in.Labor.Force"
"98072","Not.in.Labor.Force"
"85368","Not.in.Labor.Force"
"85213","Not.in.Labor.Force"
"99723","Not.in.Labor.Force"
"98031","Not.in.Labor.Force"
"78472","Not.in.Labor.Force"
"81266","Not.in.Labor.Force"
"98600","Not.in.Labor.Force"
"126851","Not.in.Labor.Force"
"100090","Not.in.Labor.Force"
"100016","Not.in.Labor.Force"
"99663","Not.in.Labor.Force"
"84390","Not.in.Labor.Force"
"98129","Not.in.Labor.Force"
"98639","Not.in.Labor.Force"
"78470","Not.in.Labor.Force"
"101141","Not.in.Labor.Force"
"101437","Not.in.Labor.Force"
"101434","Not.in.Labor.Force"
"101207","Not.in.Labor.Force"
"101574","Not.in.Labor.Force"
"101573","Not.in.Labor.Force"
"99047","Not.in.Labor.Force"
"101348","Not.in.Labor.Force"
"101188","Not.in.Labor.Force"
"84612","Not.in.Labor.Force"
"115921","Not.in.Labor.Force"
"116158","Not.in.Labor.Force"
"116361","Not.in.Labor.Force"
"116090","Not.in.Labor.Force"
"116159","Not.in.Labor.Force"
"466","Not.in.Labor.Force"
"116415","Not.in.Labor.Force"
"115875","Not.in.Labor.Force"
"115920","Not.in.Labor.Force"
"116201","Not.in.Labor.Force"
"116521","Not.in.Labor.Force"
"116263","Not.in.Labor.Force"
"116416","Not.in.Labor.Force"
"80154","Not.in.Labor.Force"
"116115","Not.in.Labor.Force"
"116289","Not.in.Labor.Force"
"44632","Not.in.Labor.Force"
"79789","Not.in.Labor.Force"
"44628","Not.in.Labor.Force"
"44572","Not.in.Labor.Force"
"79818","Not.in.Labor.Force"
"44584","Not.in.Labor.Force"
"44583","Not.in.Labor.Force"
"80371","Not.in.Labor.Force"
"44676","Not.in.Labor.Force"
"44677","Not.in.Labor.Force"
"44654","Not.in.Labor.Force"
"79844","Not.in.Labor.Force"
"105555","Not.in.Labor.Force"
"105554","Not.in.Labor.Force"
"105632","Not.in.Labor.Force"
"105269","Not.in.Labor.Force"
"105631","Not.in.Labor.Force"
"105477","Not.in.Labor.Force"
"60654","Not.in.Labor.Force"
"42986","Not.in.Labor.Force"
"60171","Not.in.Labor.Force"
"61268","Not.in.Labor.Force"
"61081","Not.in.Labor.Force"
"60172","Not.in.Labor.Force"
"60655","Not.in.Labor.Force"
"61080","Not.in.Labor.Force"
"61868","Not.in.Labor.Force"
"60026","Not.in.Labor.Force"
"61082","Not.in.Labor.Force"
"61867","Not.in.Labor.Force"
"60649","Not.in.Labor.Force"
"42990","Not.in.Labor.Force"
"60024","Not.in.Labor.Force"
"79926","Not.in.Labor.Force"
"61866","Not.in.Labor.Force"
"79897","Not.in.Labor.Force"
"42994","Not.in.Labor.Force"
"1181","Not.in.Labor.Force"
"1197","Not.in.Labor.Force"
"101438","Not.in.Labor.Force"
"1143","Not.in.Labor.Force"
"80376","Not.in.Labor.Force"
"1300","Not.in.Labor.Force"
"80307","Not.in.Labor.Force"
"1144","Not.in.Labor.Force"
"80099","Not.in.Labor.Force"
"129170","Not.in.Labor.Force"
"129535","Not.in.Labor.Force"
"128956","Not.in.Labor.Force"
"129601","Not.in.Labor.Force"
"128908","Not.in.Labor.Force"
"129015","Not.in.Labor.Force"
"129602","Not.in.Labor.Force"
"128952","Not.in.Labor.Force"
"128907","Not.in.Labor.Force"
"129014","Not.in.Labor.Force"
"128951","Not.in.Labor.Force"
"129312","Not.in.Labor.Force"
"80293","Not.in.Labor.Force"
"129310","Not.in.Labor.Force"
"128884","Not.in.Labor.Force"
"129635","Not.in.Labor.Force"
"129636","Not.in.Labor.Force"
"128955","Not.in.Labor.Force"
"129554","Not.in.Labor.Force"
"128886","Not.in.Labor.Force"
"44563","Not.in.Labor.Force"
"129311","Not.in.Labor.Force"
"128785","Not.in.Labor.Force"
"129109","Not.in.Labor.Force"
"129110","Not.in.Labor.Force"
"128784","Not.in.Labor.Force"
"128894","Not.in.Labor.Force"
"128786","Not.in.Labor.Force"
"128889","Not.in.Labor.Force"
"80206","Not.in.Labor.Force"
"128885","Not.in.Labor.Force"
"88896","Not.in.Labor.Force"
"89001","Not.in.Labor.Force"
"88811","Not.in.Labor.Force"
"80355","Not.in.Labor.Force"
"89071","Not.in.Labor.Force"
"88882","Not.in.Labor.Force"
"80342","Not.in.Labor.Force"
"88810","Not.in.Labor.Force"
"89072","Not.in.Labor.Force"
"79911","Not.in.Labor.Force"
"89082","Not.in.Labor.Force"
"89083","Not.in.Labor.Force"
"88894","Not.in.Labor.Force"
"89029","Not.in.Labor.Force"
"88879","Not.in.Labor.Force"
"80242","Not.in.Labor.Force"
"42802","Not.in.Labor.Force"
"89058","Not.in.Labor.Force"
"89059","Not.in.Labor.Force"
"88878","Not.in.Labor.Force"
"88895","Not.in.Labor.Force"
"89000","Not.in.Labor.Force"
"88972","Not.in.Labor.Force"
"88814","Not.in.Labor.Force"
"88813","Not.in.Labor.Force"
"79882","Not.in.Labor.Force"
"34948","Not.in.Labor.Force"
"43004","Not.in.Labor.Force"
"34824","Not.in.Labor.Force"
"34758","Not.in.Labor.Force"
"46828","Not.in.Labor.Force"
"114915","Not.in.Labor.Force"
"80338","Not.in.Labor.Force"
"34994","Not.in.Labor.Force"
"34951","Not.in.Labor.Force"
"34727","Not.in.Labor.Force"
"47016","Not.in.Labor.Force"
"34818","Not.in.Labor.Force"
"34819","Not.in.Labor.Force"
"34915","Not.in.Labor.Force"
"34936","Not.in.Labor.Force"
"34914","Not.in.Labor.Force"
"34993","Not.in.Labor.Force"
"35083","Not.in.Labor.Force"
"35082","Not.in.Labor.Force"
"46937","Not.in.Labor.Force"
"46771","Not.in.Labor.Force"
"32966","Not.in.Labor.Force"
"46936","Not.in.Labor.Force"
"33856","Not.in.Labor.Force"
"33607","Not.in.Labor.Force"
"32764","Not.in.Labor.Force"
"33864","Not.in.Labor.Force"
"32909","Not.in.Labor.Force"
"33968","Not.in.Labor.Force"
"33340","Not.in.Labor.Force"
"33900","Not.in.Labor.Force"
"98340","Not.in.Labor.Force"
"33343","Not.in.Labor.Force"
"33760","Not.in.Labor.Force"
"32965","Not.in.Labor.Force"
"34210","Not.in.Labor.Force"
"33305","Not.in.Labor.Force"
"33241","Not.in.Labor.Force"
"33753","Not.in.Labor.Force"
"33518","Not.in.Labor.Force"
"32467","Not.in.Labor.Force"
"33901","Not.in.Labor.Force"
"33943","Not.in.Labor.Force"
"62553","Not.in.Labor.Force"
"34080","Not.in.Labor.Force"
"32794","Not.in.Labor.Force"
"32686","Not.in.Labor.Force"
"32682","Not.in.Labor.Force"
"32466","Not.in.Labor.Force"
"33193","Not.in.Labor.Force"
"33426","Not.in.Labor.Force"
"66513","Not.in.Labor.Force"
"32763","Not.in.Labor.Force"
"33587","Not.in.Labor.Force"
"99390","Not.in.Labor.Force"
"32791","Not.in.Labor.Force"
"32795","Not.in.Labor.Force"
"33244","Not.in.Labor.Force"
"32932","Not.in.Labor.Force"
"34008","Not.in.Labor.Force"
"32710","Not.in.Labor.Force"
"33663","Not.in.Labor.Force"
"33926","Not.in.Labor.Force"
"33886","Not.in.Labor.Force"
"33304","Not.in.Labor.Force"
"33237","Not.in.Labor.Force"
"32961","Not.in.Labor.Force"
"33937","Not.in.Labor.Force"
"66373","Not.in.Labor.Force"
"99838","Not.in.Labor.Force"
"33739","Not.in.Labor.Force"
"34101","Not.in.Labor.Force"
"32654","Not.in.Labor.Force"
"33436","Not.in.Labor.Force"
"33769","Not.in.Labor.Force"
"32462","Not.in.Labor.Force"
"32655","Not.in.Labor.Force"
"33242","Not.in.Labor.Force"
"66419","Not.in.Labor.Force"
"33608","Not.in.Labor.Force"
"34235","Not.in.Labor.Force"
"33875","Not.in.Labor.Force"
"98130","Not.in.Labor.Force"
"33331","Not.in.Labor.Force"
"33005","Not.in.Labor.Force"
"33921","Not.in.Labor.Force"
"33706","Not.in.Labor.Force"
"33049","Not.in.Labor.Force"
"33885","Not.in.Labor.Force"
"33017","Not.in.Labor.Force"
"33713","Not.in.Labor.Force"
"32962","Not.in.Labor.Force"
"33064","Not.in.Labor.Force"
"32931","Not.in.Labor.Force"
"33000","Not.in.Labor.Force"
"34234","Not.in.Labor.Force"
"32711","Not.in.Labor.Force"
"33405","Not.in.Labor.Force"
"101575","Not.in.Labor.Force"
"34262","Not.in.Labor.Force"
"33088","Not.in.Labor.Force"
"33430","Not.in.Labor.Force"
"28266","Not.in.Labor.Force"
"3407","Not.in.Labor.Force"
"34102","Not.in.Labor.Force"
"33997","Not.in.Labor.Force"
"34286","Not.in.Labor.Force"
"33458","Not.in.Labor.Force"
"27721","Not.in.Labor.Force"
"32926","Not.in.Labor.Force"
"32442","Not.in.Labor.Force"
"33692","Not.in.Labor.Force"
"33144","Not.in.Labor.Force"
"34125","Not.in.Labor.Force"
"33927","Not.in.Labor.Force"
"34036","Not.in.Labor.Force"
"32724","Not.in.Labor.Force"
"33707","Not.in.Labor.Force"
"33939","Not.in.Labor.Force"
"33938","Not.in.Labor.Force"
"33170","Not.in.Labor.Force"
"116449","Not.in.Labor.Force"
"33001","Not.in.Labor.Force"
"33475","Not.in.Labor.Force"
"33256","Not.in.Labor.Force"
"32978","Not.in.Labor.Force"
"33083","Not.in.Labor.Force"
"33089","Not.in.Labor.Force"
"33749","Not.in.Labor.Force"
"32441","Not.in.Labor.Force"
"34017","Not.in.Labor.Force"
"33471","Not.in.Labor.Force"
"33879","Not.in.Labor.Force"
"3980","Not.in.Labor.Force"
"33328","Not.in.Labor.Force"
"34207","Not.in.Labor.Force"
"32687","Not.in.Labor.Force"
"33669","Not.in.Labor.Force"
"34002","Not.in.Labor.Force"
"32580","Not.in.Labor.Force"
"33680","Not.in.Labor.Force"
"33002","Not.in.Labor.Force"
"32781","Not.in.Labor.Force"
"32669","Not.in.Labor.Force"
"28002","Not.in.Labor.Force"
"33336","Not.in.Labor.Force"
"32725","Not.in.Labor.Force"
"32611","Not.in.Labor.Force"
"32612","Not.in.Labor.Force"
"32727","Not.in.Labor.Force"
"32622","Not.in.Labor.Force"
"32735","Not.in.Labor.Force"
"32736","Not.in.Labor.Force"
"33718","Not.in.Labor.Force"
"33910","Not.in.Labor.Force"
"33404","Not.in.Labor.Force"
"32979","Not.in.Labor.Force"
"27989","Not.in.Labor.Force"
"33406","Not.in.Labor.Force"
"31543","Not.in.Labor.Force"
"33306","Not.in.Labor.Force"
"33091","Not.in.Labor.Force"
"33203","Not.in.Labor.Force"
"33216","Not.in.Labor.Force"
"33215","Not.in.Labor.Force"
"33140","Not.in.Labor.Force"
"33728","Not.in.Labor.Force"
"32453","Not.in.Labor.Force"
"34100","Not.in.Labor.Force"
"32683","Not.in.Labor.Force"
"29225","Not.in.Labor.Force"
"34211","Not.in.Labor.Force"
"32468","Not.in.Labor.Force"
"33236","Not.in.Labor.Force"
"33457","Not.in.Labor.Force"
"34001","Not.in.Labor.Force"
"34115","Not.in.Labor.Force"
"34226","Not.in.Labor.Force"
"33547","Not.in.Labor.Force"
"27471","Not.in.Labor.Force"
"61103","Not.in.Labor.Force"
"33469","Not.in.Labor.Force"
"32826","Not.in.Labor.Force"
"33591","Not.in.Labor.Force"
"33922","Not.in.Labor.Force"
"33931","Not.in.Labor.Force"
"32953","Not.in.Labor.Force"
"27447","Not.in.Labor.Force"
"34159","Not.in.Labor.Force"
"33388","Not.in.Labor.Force"
"1196","Not.in.Labor.Force"
"42833","Not.in.Labor.Force"
"33727","Not.in.Labor.Force"
"27599","Not.in.Labor.Force"
"3194","Not.in.Labor.Force"
"33303","Not.in.Labor.Force"
"80252","Not.in.Labor.Force"
"32549","Not.in.Labor.Force"
"33548","Not.in.Labor.Force"
"42981","Not.in.Labor.Force"
"33339","Not.in.Labor.Force"
"89002","Not.in.Labor.Force"
"32780","Not.in.Labor.Force"
"33399","Not.in.Labor.Force"
"33039","Not.in.Labor.Force"
"33151","Not.in.Labor.Force"
"33371","Not.in.Labor.Force"
"88836","Not.in.Labor.Force"
"33054","Not.in.Labor.Force"
"128954","Not.in.Labor.Force"
"33219","Not.in.Labor.Force"
"32747","Not.in.Labor.Force"
"33874","Not.in.Labor.Force"
"33214","Not.in.Labor.Force"
"34308","Not.in.Labor.Force"
"129668","Not.in.Labor.Force"
"32891","Not.in.Labor.Force"
"43406","Not.in.Labor.Force"
"33662","Not.in.Labor.Force"
"32908","Not.in.Labor.Force"
"129111","Not.in.Labor.Force"
"129300","Not.in.Labor.Force"
"129531","Not.in.Labor.Force"
"32581","Not.in.Labor.Force"
"34227","Not.in.Labor.Force"
"33398","Not.in.Labor.Force"
"33768","Not.in.Labor.Force"
"33477","Not.in.Labor.Force"
"33370","Not.in.Labor.Force"
"33930","Not.in.Labor.Force"
"34037","Not.in.Labor.Force"
"33827","Not.in.Labor.Force"
"33865","Not.in.Labor.Force"
"33717","Not.in.Labor.Force"
"34053","Not.in.Labor.Force"
"33287","Not.in.Labor.Force"
"33612","Not.in.Labor.Force"
"33952","Not.in.Labor.Force"
"33953","Not.in.Labor.Force"
"32976","Not.in.Labor.Force"
"33624","Not.in.Labor.Force"
"34283","Not.in.Labor.Force"
"101253","Not.in.Labor.Force"
"33539","Not.in.Labor.Force"
"34196","Not.in.Labor.Force"
"33319","Not.in.Labor.Force"
"33437","Not.in.Labor.Force"
"33446","Not.in.Labor.Force"
"33998","Not.in.Labor.Force"
"33235","Not.in.Labor.Force"
"32804","Not.in.Labor.Force"
"33498","Not.in.Labor.Force"
"33032","Not.in.Labor.Force"
"33838","Not.in.Labor.Force"
"33586","Not.in.Labor.Force"
"32825","Not.in.Labor.Force"
"33702","Not.in.Labor.Force"
"69368","Not.in.Labor.Force"
"34726","Not.in.Labor.Force"
"33171","Not.in.Labor.Force"
"69509","Not.in.Labor.Force"
"69413","Not.in.Labor.Force"
"33063","Not.in.Labor.Force"
"33190","Not.in.Labor.Force"
"33556","Not.in.Labor.Force"
"32798","Not.in.Labor.Force"
"34197","Not.in.Labor.Force"
"33648","Not.in.Labor.Force"
"32661","Not.in.Labor.Force"
"92149","Not.in.Labor.Force"
"34073","Not.in.Labor.Force"
"33754","Not.in.Labor.Force"
"61572","Not.in.Labor.Force"
"34030","Not.in.Labor.Force"
"33668","Not.in.Labor.Force"
"34309","Not.in.Labor.Force"
"32854","Not.in.Labor.Force"
"33189","Not.in.Labor.Force"
"32901","Not.in.Labor.Force"
"34031","Not.in.Labor.Force"
"33818","Not.in.Labor.Force"
"34139","Not.in.Labor.Force"
"34138","Not.in.Labor.Force"
"33387","Not.in.Labor.Force"
"33532","Not.in.Labor.Force"
"34195","Not.in.Labor.Force"
"33729","Not.in.Labor.Force"
"33227","Not.in.Labor.Force"
"33598","Not.in.Labor.Force"
"42312","Not.in.Labor.Force"
"32833","Not.in.Labor.Force"
"32551","Not.in.Labor.Force"
"33392","Not.in.Labor.Force"
"33616","Not.in.Labor.Force"
"33613","Not.in.Labor.Force"
"33723","Not.in.Labor.Force"
"34099","Not.in.Labor.Force"
"33046","Not.in.Labor.Force"
"32834","Not.in.Labor.Force"
"34074","Not.in.Labor.Force"
"33068","Not.in.Labor.Force"
"33183","Not.in.Labor.Force"
"33152","Not.in.Labor.Force"
"33204","Not.in.Labor.Force"
"33156","Not.in.Labor.Force"
"47367","Not.in.Labor.Force"
"33540","Not.in.Labor.Force"
"34050","Not.in.Labor.Force"
"33155","Not.in.Labor.Force"
"32542","Not.in.Labor.Force"
"34166","Not.in.Labor.Force"
"34165","Not.in.Labor.Force"
"33476","Not.in.Labor.Force"
"32820","Not.in.Labor.Force"
"32541","Not.in.Labor.Force"
"33492","Not.in.Labor.Force"
"33817","Not.in.Labor.Force"
"32999","Not.in.Labor.Force"
"32666","Not.in.Labor.Force"
"33649","Not.in.Labor.Force"
"33837","Not.in.Labor.Force"
"32970","Not.in.Labor.Force"
"33067","Not.in.Labor.Force"
"34162","Not.in.Labor.Force"
"33393","Not.in.Labor.Force"
"34272","Not.in.Labor.Force"
"34192","Not.in.Labor.Force"
"33507","Not.in.Labor.Force"
"32488","Not.in.Labor.Force"
"34163","Not.in.Labor.Force"
"33394","Not.in.Labor.Force"
"33207","Not.in.Labor.Force"
"34161","Not.in.Labor.Force"
"34160","Not.in.Labor.Force"
"33031","Not.in.Labor.Force"
"32811","Not.in.Labor.Force"
"33506","Not.in.Labor.Force"
"32550","Not.in.Labor.Force"
"67829","Not.in.Labor.Force"
"79454","Not.in.Labor.Force"
"79632","Not.in.Labor.Force"
"79475","Not.in.Labor.Force"
"79477","Not.in.Labor.Force"
"79620","Not.in.Labor.Force"
"48199","Not.in.Labor.Force"
"47845","Not.in.Labor.Force"
"79474","Not.in.Labor.Force"
"79737","Not.in.Labor.Force"
"47748","Not.in.Labor.Force"
"79425","Not.in.Labor.Force"
"47524","Not.in.Labor.Force"
"79631","Not.in.Labor.Force"
"47797","Not.in.Labor.Force"
"79619","Not.in.Labor.Force"
"79517","Not.in.Labor.Force"
"79738","Not.in.Labor.Force"
"79476","Not.in.Labor.Force"
"48106","Not.in.Labor.Force"
"79424","Not.in.Labor.Force"
"79447","Not.in.Labor.Force"
"79492","Not.in.Labor.Force"
"79589","Not.in.Labor.Force"
"79588","Not.in.Labor.Force"
"79702","Not.in.Labor.Force"
"105515","Not.in.Labor.Force"
"105516","Not.in.Labor.Force"
"47377","Not.in.Labor.Force"
"33581","Not.in.Labor.Force"
"33582","Not.in.Labor.Force"
"105336","Not.in.Labor.Force"
"68508","Not.in.Labor.Force"
"105503","Not.in.Labor.Force"
"105462","Not.in.Labor.Force"
"32419","Not.in.Labor.Force"
"105642","Not.in.Labor.Force"
"32758","Not.in.Labor.Force"
"105612","Not.in.Labor.Force"
"32783","Not.in.Labor.Force"
"105425","Not.in.Labor.Force"
"33654","Not.in.Labor.Force"
"32570","Not.in.Labor.Force"
"80255","Not.in.Labor.Force"
"33655","Not.in.Labor.Force"
"47739","Not.in.Labor.Force"
"33450","Not.in.Labor.Force"
"33656","Not.in.Labor.Force"
"32471","Not.in.Labor.Force"
"33974","Not.in.Labor.Force"
"105458","Not.in.Labor.Force"
"105156","Not.in.Labor.Force"
"105558","Not.in.Labor.Force"
"33975","Not.in.Labor.Force"
"105337","Not.in.Labor.Force"
"33658","Not.in.Labor.Force"
"110771","Not.in.Labor.Force"
"110770","Not.in.Labor.Force"
"113170","Not.in.Labor.Force"
"110768","Not.in.Labor.Force"
"112406","Not.in.Labor.Force"
"47535","Not.in.Labor.Force"
"112742","Not.in.Labor.Force"
"113856","Not.in.Labor.Force"
"111456","Not.in.Labor.Force"
"111455","Not.in.Labor.Force"
"112743","Not.in.Labor.Force"
"113062","Not.in.Labor.Force"
"111857","Not.in.Labor.Force"
"67721","Not.in.Labor.Force"
"112854","Not.in.Labor.Force"
"47796","Not.in.Labor.Force"
"113063","Not.in.Labor.Force"
"80180","Not.in.Labor.Force"
"112348","Not.in.Labor.Force"
"113403","Not.in.Labor.Force"
"110973","Not.in.Labor.Force"
"110584","Not.in.Labor.Force"
"113061","Not.in.Labor.Force"
"47750","Not.in.Labor.Force"
"114720","Not.in.Labor.Force"
"114439","Not.in.Labor.Force"
"109855","Not.in.Labor.Force"
"113897","Not.in.Labor.Force"
